feature,text,clase,tweet_id,origin,clean_tokens,word_count,token_count
¿Vas a ir así?,¿vas a ir así?,violent,,rnn,"[vas, a, ir, así]",4,4
odio a la mujer.,odio a la mujer,violent,,rnn,"[odio, a, la, mujer]",4,4
La mujer es mala.,la mujer es mala,violent,,rnn,"[la, mujer, es, mala]",4,4
la bolsa de hielo.,la bolsa de hielo,violent,,rnn,"[la, bolsa, de, hielo]",4,4
esto es un coñazo.,esto es un coñazo,violent,,rnn,"[esto, es, un, coñazo]",4,4
Mujer fea y vieja.,mujer fea y vieja,violent,,rnn,"[mujer, fea, y, vieja]",4,4
la mató por celos.,la mató por celos,violent,,rnn,"[la, mató, por, celos]",4,4
vence a esa zorra.,vence a esa zorra,violent,,rnn,"[vence, a, esa, zorra]",4,4
Tú eres bien puta.,tú eres bien puta,violent,,rnn,"[tú, eres, bien, puta]",4,4
que puta mi amiga.,que puta mi amiga,violent,,rnn,"[que, puta, mi, amiga]",4,4
¿Aún no te casas.,¿aún no te casas,violent,,rnn,"[aún, no, te, casas]",4,4
Estas gorda y fea.,estas gorda y fea,violent,,rnn,"[estas, gorda, y, fea]",4,4
ella es una golfa.,ella es una golfa,violent,,rnn,"[ella, es, una, golfa]",4,4
llorar es de nenas.,llorar es de nenas,violent,,rnn,"[llorar, es, de, nenas]",4,4
llorar es de niñas.,llorar es de niñas,violent,,rnn,"[llorar, es, de, niñas]",4,4
Cásate y sé sumisa.,cásate y sé sumisa,violent,,rnn,"[cásate, y, sé, sumisa]",4,4
Golpea a esa zorra.,golpea a esa zorra,violent,,rnn,"[golpea, a, esa, zorra]",4,4
Es una rubia tonta.,es una rubia tonta,violent,,rnn,"[es, una, rubia, tonta]",4,4
Mi muñeca me habl.,mi muñeca me habl,violent,,rnn,"[mi, muñeca, me, habl]",4,4
que perra mi amiga.,que perra mi amiga,violent,,rnn,"[que, perra, mi, amiga]",4,4
que zorra mi amiga.,que zorra mi amiga,violent,,rnn,"[que, zorra, mi, amiga]",4,4
por que tan solita.,por que tan solita,violent,,rnn,"[por, que, tan, solita]",4,4
Te comía a bocados.,te comía a bocados,violent,,rnn,"[te, comía, a, bocados]",4,4
tías buenas y feas.,tías buenas y feas,violent,,rnn,"[tías, buenas, y, feas]",4,4
su mujer esta plana.,su mujer esta plana,violent,,rnn,"[su, mujer, esta, plana]",4,4
mujer fea y malvada.,mujer fea y malvada,violent,,rnn,"[mujer, fea, y, malvada]",4,4
la mujer vale menos.,la mujer vale menos,violent,,rnn,"[la, mujer, vale, menos]",4,4
golpeaba a su mujer.,golpeaba a su mujer,violent,,rnn,"[golpeaba, a, su, mujer]",4,4
ella es una pendeja.,ella es una pendeja,violent,,rnn,"[ella, es, una, pendeja]",4,4
No seas tan llorona.,no seas tan llorona,violent,,rnn,"[no, seas, tan, llorona]",4,4
Mujer tenía que ser.,mujer tenía que ser,violent,,rnn,"[mujer, tenía, que, ser]",4,4
hija de la chingada.,hija de la chingada,violent,,rnn,"[hija, de, la, chingada]",4,4
la mujer a ?objeto.,la mujer a ?objeto,violent,,rnn,"[la, mujer, a, objeto]",4,4
Mujer tenías que ser.,mujer tenías que ser,violent,,rnn,"[mujer, tenías, que, ser]",4,4
Lloras como una niña.,lloras como una niña,violent,,rnn,"[lloras, como, una, niña]",4,4
Peleas como una niña.,peleas como una niña,violent,,rnn,"[peleas, como, una, niña]",4,4
mujeres de mal vivir.,mujeres de mal vivir,violent,,rnn,"[mujeres, de, mal, vivir]",4,4
Una dama no hace eso.,una dama no hace eso,violent,,rnn,"[una, dama, no, hace, eso]",5,5
Eso lo será tu madre.,eso lo será tu madre,violent,,rnn,"[eso, lo, será, tu, madre]",5,5
la puta que lo pari.,la puta que lo pari,violent,,rnn,"[la, puta, que, lo, pari]",5,5
eres una rubia tonta.,eres una rubia tonta,violent,,rnn,"[eres, una, rubia, tonta]",4,4
¿Eres chica o chico.,¿eres chica o chico,violent,,rnn,"[eres, chica, o, chico]",4,4
esa no entra en casa.,esa no entra en casa,violent,,rnn,"[esa, no, entra, en, casa]",5,5
mucho mejor es tonta.,mucho mejor es tonta,violent,,rnn,"[mucho, mejor, es, tonta]",4,4
Corres como una niña.,corres como una niña,violent,,rnn,"[corres, como, una, niña]",4,4
Obedezca a su esposo.,obedezca a su esposo,violent,,rnn,"[obedezca, a, su, esposo]",4,4
mi mujer es una puta.,mi mujer es una puta,violent,,rnn,"[mi, mujer, es, una, puta]",5,5
mi amiga es una puta.,mi amiga es una puta,violent,,rnn,"[mi, amiga, es, una, puta]",5,5
Tienes que ser buena.,tienes que ser buena,violent,,rnn,"[tienes, que, ser, buena]",4,4
Eso es de marimachos.,eso es de marimachos,violent,,rnn,"[eso, es, de, marimachos]",4,4
mujer tenias que ser.,mujer tenias que ser,violent,,rnn,"[mujer, tenias, que, ser]",4,4
